resultId,raceId,year,position,driverId,driverRef,constructorId,constructorRecent
1,18,2008,1.0,1,hamilton,1,mclaren
2,18,2008,2.0,2,heidfeld,2,sauber
3,18,2008,3.0,3,rosberg,3,williams
4,18,2008,4.0,4,alonso,4,alpine
5,18,2008,5.0,5,kovalainen,1,mclaren
6,18,2008,6.0,6,nakajima,3,williams
7,18,2008,7.0,7,bourdais,5,rb
8,18,2008,8.0,8,raikkonen,6,ferrari
9,18,2008,9.0,9,kubica,2,sauber
10,18,2008,9.0,10,glock,7,toyota
11,18,2008,9.0,11,sato,8,super_aguri
12,18,2008,9.0,12,piquet_jr,4,alpine
13,18,2008,9.0,13,massa,6,ferrari
14,18,2008,9.0,14,coulthard,9,red_bull
15,18,2008,9.0,15,trulli,7,toyota
16,18,2008,9.0,16,sutil,10,aston_martin
17,18,2008,9.0,17,webber,9,red_bull
18,18,2008,9.0,18,button,11,mercedes
19,18,2008,9.0,19,davidson,8,super_aguri
20,18,2008,9.0,20,vettel,5,rb
21,18,2008,9.0,21,fisichella,10,aston_martin
22,18,2008,9.0,22,barrichello,11,mercedes
23,19,2008,1.0,8,raikkonen,6,ferrari
24,19,2008,2.0,9,kubica,2,sauber
25,19,2008,3.0,5,kovalainen,1,mclaren
26,19,2008,4.0,15,trulli,7,toyota
27,19,2008,5.0,1,hamilton,1,mclaren
28,19,2008,6.0,2,heidfeld,2,sauber
29,19,2008,7.0,17,webber,9,red_bull
30,19,2008,8.0,4,alonso,4,alpine
31,19,2008,9.0,14,coulthard,9,red_bull
32,19,2008,10.0,18,button,11,mercedes
33,19,2008,11.0,12,piquet_jr,4,alpine
34,19,2008,12.0,21,fisichella,10,aston_martin
35,19,2008,13.0,22,barrichello,11,mercedes
36,19,2008,14.0,3,rosberg,3,williams
37,19,2008,15.0,19,davidson,8,super_aguri
38,19,2008,16.0,11,sato,8,super_aguri
39,19,2008,17.0,6,nakajima,3,williams
40,19,2008,18.0,20,vettel,5,rb
41,19,2008,18.0,13,massa,6,ferrari
42,19,2008,18.0,16,sutil,10,aston_martin
43,19,2008,18.0,10,glock,7,toyota
44,19,2008,18.0,7,bourdais,5,rb
45,20,2008,1.0,13,massa,6,ferrari
46,20,2008,2.0,8,raikkonen,6,ferrari
47,20,2008,3.0,9,kubica,2,sauber
48,20,2008,4.0,2,heidfeld,2,sauber
49,20,2008,5.0,5,kovalainen,1,mclaren
50,20,2008,6.0,15,trulli,7,toyota
51,20,2008,7.0,17,webber,9,red_bull
52,20,2008,8.0,3,rosberg,3,williams
53,20,2008,9.0,10,glock,7,toyota
54,20,2008,10.0,4,alonso,4,alpine
55,20,2008,11.0,22,barrichello,11,mercedes
56,20,2008,12.0,21,fisichella,10,aston_martin
57,20,2008,13.0,1,hamilton,1,mclaren
58,20,2008,14.0,6,nakajima,3,williams
59,20,2008,15.0,7,bourdais,5,rb
60,20,2008,16.0,19,davidson,8,super_aguri
61,20,2008,17.0,11,sato,8,super_aguri
62,20,2008,18.0,14,coulthard,9,red_bull
63,20,2008,19.0,16,sutil,10,aston_martin
64,20,2008,20.0,12,piquet_jr,4,alpine
65,20,2008,20.0,18,button,11,mercedes
66,20,2008,20.0,20,vettel,5,rb
67,21,2008,1.0,8,raikkonen,6,ferrari
68,21,2008,2.0,13,massa,6,ferrari
69,21,2008,3.0,1,hamilton,1,mclaren
70,21,2008,4.0,9,kubica,2,sauber
71,21,2008,5.0,17,webber,9,red_bull
72,21,2008,6.0,18,button,11,mercedes
73,21,2008,7.0,6,nakajima,3,williams
74,21,2008,8.0,15,trulli,7,toyota
75,21,2008,9.0,2,heidfeld,2,sauber
76,21,2008,10.0,21,fisichella,10,aston_martin
77,21,2008,11.0,10,glock,7,toyota
78,21,2008,12.0,14,coulthard,9,red_bull
79,21,2008,13.0,11,sato,8,super_aguri
80,21,2008,14.0,3,rosberg,3,williams
81,21,2008,14.0,4,alonso,4,alpine
82,21,2008,14.0,22,barrichello,11,mercedes
83,21,2008,14.0,5,kovalainen,1,mclaren
84,21,2008,14.0,19,davidson,8,super_aguri
85,21,2008,14.0,7,bourdais,5,rb
86,21,2008,14.0,12,piquet_jr,4,alpine
87,21,2008,14.0,16,sutil,10,aston_martin
88,21,2008,14.0,20,vettel,5,rb
89,22,2008,1.0,13,massa,6,ferrari
90,22,2008,2.0,1,hamilton,1,mclaren
91,22,2008,3.0,8,raikkonen,6,ferrari
92,22,2008,4.0,9,kubica,2,sauber
93,22,2008,5.0,2,heidfeld,2,sauber
94,22,2008,6.0,4,alonso,4,alpine
95,22,2008,7.0,17,webber,9,red_bull
96,22,2008,8.0,3,rosberg,3,williams
97,22,2008,9.0,14,coulthard,9,red_bull
98,22,2008,10.0,15,trulli,7,toyota
99,22,2008,11.0,18,button,11,mercedes
100,22,2008,12.0,5,kovalainen,1,mclaren
101,22,2008,13.0,10,glock,7,toyota
102,22,2008,14.0,22,barrichello,11,mercedes
103,22,2008,15.0,12,piquet_jr,4,alpine
104,22,2008,16.0,16,sutil,10,aston_martin
105,22,2008,17.0,20,vettel,5,rb
106,22,2008,18.0,7,bourdais,5,rb
107,22,2008,18.0,6,nakajima,3,williams
108,22,2008,18.0,21,fisichella,10,aston_martin
109,23,2008,1.0,1,hamilton,1,mclaren
110,23,2008,2.0,9,kubica,2,sauber
111,23,2008,3.0,13,massa,6,ferrari
112,23,2008,4.0,17,webber,9,red_bull
113,23,2008,5.0,20,vettel,5,rb
114,23,2008,6.0,22,barrichello,11,mercedes
115,23,2008,7.0,6,nakajima,3,williams
116,23,2008,8.0,5,kovalainen,1,mclaren
117,23,2008,9.0,8,raikkonen,6,ferrari
118,23,2008,10.0,4,alonso,4,alpine
119,23,2008,11.0,18,button,11,mercedes
120,23,2008,12.0,10,glock,7,toyota
121,23,2008,13.0,15,trulli,7,toyota
122,23,2008,14.0,2,heidfeld,2,sauber
123,23,2008,15.0,16,sutil,10,aston_martin
124,23,2008,15.0,3,rosberg,3,williams
125,23,2008,15.0,12,piquet_jr,4,alpine
126,23,2008,15.0,21,fisichella,10,aston_martin
127,23,2008,15.0,14,coulthard,9,red_bull
128,23,2008,15.0,7,bourdais,5,rb
129,24,2008,1.0,9,kubica,2,sauber
130,24,2008,2.0,2,heidfeld,2,sauber
131,24,2008,3.0,14,coulthard,9,red_bull
132,24,2008,4.0,10,glock,7,toyota
133,24,2008,5.0,13,massa,6,ferrari
134,24,2008,6.0,15,trulli,7,toyota
135,24,2008,7.0,22,barrichello,11,mercedes
136,24,2008,8.0,20,vettel,5,rb
137,24,2008,9.0,5,kovalainen,1,mclaren
138,24,2008,10.0,3,rosberg,3,williams
139,24,2008,11.0,18,button,11,mercedes
140,24,2008,12.0,17,webber,9,red_bull
141,24,2008,13.0,7,bourdais,5,rb
142,24,2008,14.0,21,fisichella,10,aston_martin
143,24,2008,14.0,6,nakajima,3,williams
144,24,2008,14.0,4,alonso,4,alpine
145,24,2008,14.0,12,piquet_jr,4,alpine
146,24,2008,14.0,8,raikkonen,6,ferrari
147,24,2008,14.0,1,hamilton,1,mclaren
148,24,2008,14.0,16,sutil,10,aston_martin
149,25,2008,1.0,13,massa,6,ferrari
150,25,2008,2.0,8,raikkonen,6,ferrari
151,25,2008,3.0,15,trulli,7,toyota
152,25,2008,4.0,5,kovalainen,1,mclaren
153,25,2008,5.0,9,kubica,2,sauber
