resultId,raceId,date,year,position,driverId,driverRef,constructorId,constructorRecent,era,street_circuit
1,18,2008-03-16,2008,1.0,1,hamilton,1,mclaren,V8 Era,True
2,18,2008-03-16,2008,2.0,2,heidfeld,2,sauber,V8 Era,True
3,18,2008-03-16,2008,3.0,3,rosberg,3,williams,V8 Era,True
4,18,2008-03-16,2008,4.0,4,alonso,4,alpine,V8 Era,True
5,18,2008-03-16,2008,5.0,5,kovalainen,1,mclaren,V8 Era,True
6,18,2008-03-16,2008,6.0,6,nakajima,3,williams,V8 Era,True
7,18,2008-03-16,2008,7.0,7,bourdais,5,rb,V8 Era,True
8,18,2008-03-16,2008,8.0,8,raikkonen,6,ferrari,V8 Era,True
9,18,2008-03-16,2008,9.0,9,kubica,2,sauber,V8 Era,True
10,18,2008-03-16,2008,9.0,10,glock,7,toyota,V8 Era,True
11,18,2008-03-16,2008,9.0,11,sato,8,super_aguri,V8 Era,True
12,18,2008-03-16,2008,9.0,12,piquet_jr,4,alpine,V8 Era,True
13,18,2008-03-16,2008,9.0,13,massa,6,ferrari,V8 Era,True
14,18,2008-03-16,2008,9.0,14,coulthard,9,red_bull,V8 Era,True
15,18,2008-03-16,2008,9.0,15,trulli,7,toyota,V8 Era,True
16,18,2008-03-16,2008,9.0,16,sutil,10,aston_martin,V8 Era,True
17,18,2008-03-16,2008,9.0,17,webber,9,red_bull,V8 Era,True
18,18,2008-03-16,2008,9.0,18,button,11,mercedes,V8 Era,True
19,18,2008-03-16,2008,9.0,19,davidson,8,super_aguri,V8 Era,True
20,18,2008-03-16,2008,9.0,20,vettel,5,rb,V8 Era,True
21,18,2008-03-16,2008,9.0,21,fisichella,10,aston_martin,V8 Era,True
22,18,2008-03-16,2008,9.0,22,barrichello,11,mercedes,V8 Era,True
23,19,2008-03-23,2008,1.0,8,raikkonen,6,ferrari,V8 Era,False
24,19,2008-03-23,2008,2.0,9,kubica,2,sauber,V8 Era,False
25,19,2008-03-23,2008,3.0,5,kovalainen,1,mclaren,V8 Era,False
26,19,2008-03-23,2008,4.0,15,trulli,7,toyota,V8 Era,False
27,19,2008-03-23,2008,5.0,1,hamilton,1,mclaren,V8 Era,False
28,19,2008-03-23,2008,6.0,2,heidfeld,2,sauber,V8 Era,False
29,19,2008-03-23,2008,7.0,17,webber,9,red_bull,V8 Era,False
30,19,2008-03-23,2008,8.0,4,alonso,4,alpine,V8 Era,False
31,19,2008-03-23,2008,9.0,14,coulthard,9,red_bull,V8 Era,False
32,19,2008-03-23,2008,10.0,18,button,11,mercedes,V8 Era,False
33,19,2008-03-23,2008,11.0,12,piquet_jr,4,alpine,V8 Era,False
34,19,2008-03-23,2008,12.0,21,fisichella,10,aston_martin,V8 Era,False
35,19,2008-03-23,2008,13.0,22,barrichello,11,mercedes,V8 Era,False
36,19,2008-03-23,2008,14.0,3,rosberg,3,williams,V8 Era,False
37,19,2008-03-23,2008,15.0,19,davidson,8,super_aguri,V8 Era,False
38,19,2008-03-23,2008,16.0,11,sato,8,super_aguri,V8 Era,False
39,19,2008-03-23,2008,17.0,6,nakajima,3,williams,V8 Era,False
40,19,2008-03-23,2008,18.0,20,vettel,5,rb,V8 Era,False
41,19,2008-03-23,2008,18.0,13,massa,6,ferrari,V8 Era,False
42,19,2008-03-23,2008,18.0,16,sutil,10,aston_martin,V8 Era,False
43,19,2008-03-23,2008,18.0,10,glock,7,toyota,V8 Era,False
44,19,2008-03-23,2008,18.0,7,bourdais,5,rb,V8 Era,False
45,20,2008-04-06,2008,1.0,13,massa,6,ferrari,V8 Era,False
46,20,2008-04-06,2008,2.0,8,raikkonen,6,ferrari,V8 Era,False
47,20,2008-04-06,2008,3.0,9,kubica,2,sauber,V8 Era,False
48,20,2008-04-06,2008,4.0,2,heidfeld,2,sauber,V8 Era,False
49,20,2008-04-06,2008,5.0,5,kovalainen,1,mclaren,V8 Era,False
50,20,2008-04-06,2008,6.0,15,trulli,7,toyota,V8 Era,False
51,20,2008-04-06,2008,7.0,17,webber,9,red_bull,V8 Era,False
52,20,2008-04-06,2008,8.0,3,rosberg,3,williams,V8 Era,False
53,20,2008-04-06,2008,9.0,10,glock,7,toyota,V8 Era,False
54,20,2008-04-06,2008,10.0,4,alonso,4,alpine,V8 Era,False
55,20,2008-04-06,2008,11.0,22,barrichello,11,mercedes,V8 Era,False
56,20,2008-04-06,2008,12.0,21,fisichella,10,aston_martin,V8 Era,False
57,20,2008-04-06,2008,13.0,1,hamilton,1,mclaren,V8 Era,False
58,20,2008-04-06,2008,14.0,6,nakajima,3,williams,V8 Era,False
59,20,2008-04-06,2008,15.0,7,bourdais,5,rb,V8 Era,False
60,20,2008-04-06,2008,16.0,19,davidson,8,super_aguri,V8 Era,False
61,20,2008-04-06,2008,17.0,11,sato,8,super_aguri,V8 Era,False
62,20,2008-04-06,2008,18.0,14,coulthard,9,red_bull,V8 Era,False
63,20,2008-04-06,2008,19.0,16,sutil,10,aston_martin,V8 Era,False
64,20,2008-04-06,2008,20.0,12,piquet_jr,4,alpine,V8 Era,False
65,20,2008-04-06,2008,20.0,18,button,11,mercedes,V8 Era,False
66,20,2008-04-06,2008,20.0,20,vettel,5,rb,V8 Era,False
67,21,2008-04-27,2008,1.0,8,raikkonen,6,ferrari,V8 Era,False
68,21,2008-04-27,2008,2.0,13,massa,6,ferrari,V8 Era,False
69,21,2008-04-27,2008,3.0,1,hamilton,1,mclaren,V8 Era,False
70,21,2008-04-27,2008,4.0,9,kubica,2,sauber,V8 Era,False
71,21,2008-04-27,2008,5.0,17,webber,9,red_bull,V8 Era,False
72,21,2008-04-27,2008,6.0,18,button,11,mercedes,V8 Era,False
73,21,2008-04-27,2008,7.0,6,nakajima,3,williams,V8 Era,False
74,21,2008-04-27,2008,8.0,15,trulli,7,toyota,V8 Era,False
75,21,2008-04-27,2008,9.0,2,heidfeld,2,sauber,V8 Era,False
76,21,2008-04-27,2008,10.0,21,fisichella,10,aston_martin,V8 Era,False
77,21,2008-04-27,2008,11.0,10,glock,7,toyota,V8 Era,False
78,21,2008-04-27,2008,12.0,14,coulthard,9,red_bull,V8 Era,False
79,21,2008-04-27,2008,13.0,11,sato,8,super_aguri,V8 Era,False
80,21,2008-04-27,2008,14.0,3,rosberg,3,williams,V8 Era,False
81,21,2008-04-27,2008,14.0,4,alonso,4,alpine,V8 Era,False
82,21,2008-04-27,2008,14.0,22,barrichello,11,mercedes,V8 Era,False
83,21,2008-04-27,2008,14.0,5,kovalainen,1,mclaren,V8 Era,False
84,21,2008-04-27,2008,14.0,19,davidson,8,super_aguri,V8 Era,False
85,21,2008-04-27,2008,14.0,7,bourdais,5,rb,V8 Era,False
86,21,2008-04-27,2008,14.0,12,piquet_jr,4,alpine,V8 Era,False
87,21,2008-04-27,2008,14.0,16,sutil,10,aston_martin,V8 Era,False
88,21,2008-04-27,2008,14.0,20,vettel,5,rb,V8 Era,False
89,22,2008-05-11,2008,1.0,13,massa,6,ferrari,V8 Era,False
90,22,2008-05-11,2008,2.0,1,hamilton,1,mclaren,V8 Era,False
