competition_id,position,athlete_fei_id,athlete,horse_fei_id,horse,phase1_faults,phase1_time,phase2_faults,phase2_time
2022_CI_1092_S_S_01_02,1,10002656,Roberto TERAN TAFUR (COL),104IT51,DEZ' OOKTOFF,0,80.98,0,36.48
2022_CI_1092_S_S_01_02,2,10226828,Eliza KIMBALL (USA),104NB58,ECLIPS,0,77.83,0,36.78
2022_CI_1092_S_S_01_02,3,10015481,Filip DE WANDEL (BEL),106FA73,MANHATTAN VAN'T LEEUWERIK...,0,79.52,0,37.03
2022_CI_1092_S_S_01_02,4,10105441,Nick HANESS (USA),105DC67,GERKO III VAN DE ZEILHOEK,0,80.98,0,38.26
2022_CI_1092_S_S_01_02,5,10062291,Wim JANSSEN (NED),104KY26,DURANGO VDL,0,82.88,0,46.69
2022_CI_1092_S_S_01_02,6,10001018,Conor SWAIL (IRL),106EH53,THEO 160,0,80.81,4,36.26
2022_CI_1092_S_S_01_02,7,10002656,Roberto TERAN TAFUR (COL),106SN41,SANTANA,0,79.83,4,36.86
2022_CI_1092_S_S_01_02,8,10092750,Kelli CRUCIOTTI VANDERVEE... (USA),106SG18,ISABELLA VAN DE ZUUTHOEVE,0,79.30,4,38.54
2022_CI_1092_S_S_01_02,9,10135487,Alexandra PIELET (USA),106CK05,HYPERBOLICS,0,82.04,8,39.81
2022_CI_1092_S_S_01_02,10,10100285,Sean JOBIN (CAN),104CW31,DARIUS,1,83.32,NA,NA
2022_CI_1092_S_S_01_02,11,10030112,Eliza LEHRMAN (USA),105FF92,SIERRA,1,83.52,NA,NA
2022_CI_1092_S_S_01_02,12,10017515,Sarah SEGAL (USA),105GX04,FLINTSTONE,3,85.01,NA,NA
2022_CI_1092_S_S_01_02,13,10153719,Samantha Alexis MACKENZIE (CAN),106CR20,INAJOTTIE VDM,3,85.89,NA,NA
2022_CI_1092_S_S_01_02,14,10000547,Samuel PAROT (CHI),106RT05,BUGA Z,4,79.24,NA,NA
2022_CI_1092_S_S_01_02,15,10092969,Sarah HUBBARD (USA),105TS13,LATINO VAN DE LOOISE HEID...,4,80.26,NA,NA
2022_CI_1092_S_S_01_02,16,10183745,Grant SEGER (USA),105ZP88,YOGHI FLP,4,80.31,NA,NA
