competition_id,position,athlete_fei_id,athlete,horse_fei_id,horse,phase_number,total_faults,time
2023_CI_0657_S_U25_01_01,1,10305300,Luke JENSEN (USA),108EG60,FAYURI,1,0,56.09
2023_CI_0657_S_U25_01_01,2,10071490,Zoe CONTER (BEL),105MI69,LAZY,1,0,59.00
2023_CI_0657_S_U25_01_01,3,10237647,Sofia CADY (USA),106RW73,ZG BELLA,1,0,61.80
2023_CI_0657_S_U25_01_01,4,10148821,Ansgar HOLTGERS JR (USA),104SJ54,CHANYON,1,0,63.63
2023_CI_0657_S_U25_01_01,5,10146449,Natalie DEAN (USA),106QD02,OASIS VAN DE BUCXTALE,1,0,63.76
2023_CI_0657_S_U25_01_01,6,10227949,Annie BOLLING (USA),107DZ85,MYKONOS SCF,1,0,65.03
2023_CI_0657_S_U25_01_01,7,10138651,Mimi GOCHMAN (USA),106EX70,COSMOS BH,1,0,65.28
2023_CI_0657_S_U25_01_01,8,10109611,Karime PEREZ NUÑEZ (MEX),106CA41,CAMINA K,1,0,65.63
2023_CI_0657_S_U25_01_01,9,10151449,Eva FISHERMAN (USA),105JT83,CASALLVANO,1,0,65.83
2023_CI_0657_S_U25_01_01,10,10206787,Elena A. HAAS (USA),105CD00,CENTANA,1,0,66.20
2023_CI_0657_S_U25_01_01,11,10305300,Luke JENSEN (USA),105LS13,BIGSTAR,1,0,66.51
2023_CI_0657_S_U25_01_01,12,10149606,Virginia BONNIE (USA),105OQ21,EFODEA,1,0,66.99
2023_CI_0657_S_U25_01_01,13,10195193,Savannah HEMBY (USA),105CS31,JUJU VDM,1,0,67.03
2023_CI_0657_S_U25_01_01,14,10093717,Carlos HANK GUERREIRO (MEX),106VF84,H5 PORTHOS MAESTRO WH Z,1,0,67.16
2023_CI_0657_S_U25_01_01,15,10173510,Hallie GRIMES (USA),103TI84,LEASURE Z,1,0,67.48
2023_CI_0657_S_U25_01_01,16,10108274,Sheer LEVITIN (USA),105WO27,VITUS K,1,0,67.58
